Thread ID: 2148303280
Total: 0.067370

 %self     total     self     wait    child    calls  name
  0.05      0.00     0.00     0.00     0.00       13  FlexGen::ModelBuilder::ReferenceResolver::ResolverJob#receiver= (ruby_runtime:0}
  0.05      0.00     0.00     0.00     0.00        1  FlexGen::ModelBuilder::BuilderContext::ExtensionContainerFactory#moduleForPackage (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:114}
  0.04      0.00     0.00     0.00     0.00        3  FlexGen::ECore::EClass::ClassModule#eAllReferences_derived(d3) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:154}
  0.04      0.00     0.00     0.00     0.00        1  ASMetaModel::Form::ClassModule#addInputs ((eval):2}
  0.04      0.00     0.00     0.00     0.00        1  ASMetaModel::View::ClassModule#addGrids ((eval):2}
  0.04      0.00     0.00     0.00     0.00        1  FlexGen::ECore::EClass::ClassModule#eAllAttributes_derived(d3) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:148}
  0.04      0.00     0.00     0.00     0.00       13  <Class::FlexGen::ModelBuilder::ReferenceResolver::ResolverJob>#allocate (ruby_runtime:0}
  0.04      0.00     0.00     0.00     0.00        8  Kernel#send(d3) (ruby_runtime:0}
  0.04      0.00     0.00     0.00     0.00       13  Struct#initialize (ruby_runtime:0}
  0.04      0.00     0.00     0.00     0.00       13  FlexGen::ModelBuilder::ReferenceResolver::ResolverJob#namespace= (ruby_runtime:0}
  0.04      0.01     0.00     0.00     0.01        2  Kernel#instance_eval(d3) (ruby_runtime:0}
  0.04      0.00     0.00     0.00     0.00        1  ASMetaModel::Sig::ClassModule#addAttributes ((eval):2}
  0.03      0.00     0.00     0.00     0.00        1  ASMetaModel::App::ClassModule#addSignals ((eval):2}
  0.03      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EClass::ClassModule#eAllReferences_derived(d4) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:154}
  0.03      0.00     0.00     0.00     0.00        4  ASMetaModel::Triggerable::ClassModule#getTriggers ((eval):2}
  0.03      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EPackage::ClassModule#qualifiedName (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore_ext.rb:21}
  0.03      0.00     0.00     0.00     0.00        1  ASMetaModel::App::ClassModule#base= ((eval):2}
  0.03      0.00     0.00     0.00     0.00        1  ASMetaModel::Val::ClassModule#view_type= ((eval):2}
  0.03      0.00     0.00     0.00     0.00        1  String#sub (ruby_runtime:0}
  0.03      0.00     0.00     0.00     0.00        1  FlexGen::ECore::EClass::ClassModule#eAllAttributes(d3) ((eval):2}
